fid,id,tipus,estat,altura,nom
1,158197,eso,nap,0,Planta fotovoltaica dels Magrells
2,158275,eso,nap,0,Estació fotovoltaica de Llaberia
3,158438,eso,nap,0,Parc solar de Juncosa
4,158660,eso,nap,0,Parc solar Ramon Escriche
5,158661,eso,nap,0,Parc solar Ramon Escriche
6,159150,eso,nap,0,Planta solar fotovoltaica de Nufri SAT
7,159453,eso,nap,0,Central Termosolar de les Borges Blanques
8,159498,eso,nap,0,Planta fotovoltaica de Miralcamp
9,159546,eso,nap,0,Central Termosolar de les Borges Blanques
10,160624,eso,nap,0,Planta fotovoltaica de Sant Dalmai
11,161878,eso,nap,0,l'Hort Solar
12,161889,eso,nap,0,l'Hort Solar
13,162188,eso,nap,0,Estació solar fotovoltica Comiols
14,162439,eso,nap,0,Parc d'energia solar de Prats de Lluçanès
15,163038,eso,nap,0,Camp solar Fotovoltaic
16,163158,eso,nap,0,Camp solar de la Vinya de Querol
17,163612,eso,nap,0,Planta fotovoltaica dels Anolls
18,164393,eso,nap,0,Planta fotovoltaica de Camp de Fels
19,164394,eso,nap,0,Planta fotovoltaica de Comajordana
20,165361,eso,nap,0,Planta fotovoltaica Els Quadrons
21,165465,eso,nap,0,Planta fotovoltaica de Navès
22,165470,eso,nap,0,Parc Fotovoltaic de Montmajor
23,166110,eso,nap,0,Planta fotovoltaica del Rourell
